Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity	Median_Similarity	Similarity_SD
bili1260	Bilin	Africa	Afro-Asiatic	157	64.0712834448161	63.97	7.05069524025121
bilu1245	Bilua	Papunesia		102	59.8097366220736	59.785	6.01049278156428
bimi1240	Bimin	Papunesia	Nuclear Trans New Guinea	172	64.4683862876254	64.67	6.50630380457571
bina1277	Binandere	Papunesia	Nuclear Trans New Guinea	150	67.679393812709	67.12	7.85896383208517
bine1240	Bine	Papunesia	Eastern Trans-Fly	88	60.1752675585284	60.26	6.82107912137635
bini1246	Bini	Africa	Atlantic-Congo	177	67.8583528428094	67.915	7.48111079873971
binu1244	Talaandig-Binukid	Papunesia	Austronesian	108	64.0466011705686	63.95	7.52817177340571
bira1253	Ongota	Africa		163	66.9808026755853	67.08	5.25157948632176
biri1256	Biri	Australia	Pama-Nyungan	146	68.5745610367893	68.97	7.0353587444974
birr1240	Birri	Africa	Central Sudanic	120	63.8498327759197	64.17	6.50681613255015
bisl1239	Bislama	Papunesia	Indo-European	185	67.0607107023411	66.67	7.64637018965812
bisu1244	Bisu	Eurasia	Sino-Tibetan	187	66.5901588628763	66.88	7.52011827670986
bitt1240	Bit	Eurasia	Austroasiatic	153	66.9166722408027	66.225	9.21717562601028
biwa1243	Biwat	Papunesia	Yuat	153	67.7909908026756	68.28	6.27818716065179
blab1237	Blablanga	Papunesia	Austronesian	169	64.8813837792642	64.66	7.60075366400262
blan1242	Blang	Eurasia	Austroasiatic	159	70.420652173913	70.45	8.47373444241118
bobo1255	Bobongko	Papunesia	Austronesian	73	69.391861145964	70	7.74015104287284
bodo1267	Bodo Gadaba	Eurasia	Austroasiatic	141	68.5382399665552	68.75	6.74663956472052
bodo1269	Bodo-Mech	Eurasia	Sino-Tibetan	167	67.5823118729097	67.31	6.80852256768846
bodo1272	Bodo (Central African Republic)	Africa	Atlantic-Congo	26	57.4603302675585	56.52	14.016596941177
boht1238	Gardabani Bohtan Neo-Aramaic	Eurasia	Afro-Asiatic	166	62.0072115384615	62.19	5.63465253601082
boka1249	Bokar-Ramo	Eurasia	Sino-Tibetan	151	66.4972449832776	66.67	8.29443562742107
bola1250	Bola	Papunesia	Austronesian	193	66.4431730769231	66.135	7.13223781392323
bolg1251	Bolgo	Africa	Atlantic-Congo	78	69.9957734113712	70.29	9.38934382617168
boli1256	Bolinao	Papunesia	Austronesian	60	65.2838043478261	65	9.66776420990136
bolo1262	Boloki	Africa	Atlantic-Congo	144	63.8905058528428	63.2	7.66059522165948
boly1239	Bolyu	Eurasia	Austroasiatic	166	66.0132566889632	65.37	9.00246102163197
